content,date,dislikes,likes,press,title,userName
극우일베버러 ㅈ들이 좋아합니다,2020-01-02T07:02:02+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",cast****
트와이스 아홉명  모두  착하지만  그중에 모모가 가장헌신적이고 착하더라  순둥이,2020-01-02T07:01:43+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",choi****
ㅋㅋ 김희철도 남자다 ㅋㅋ,2020-01-02T07:01:32+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",jlop****
잘어울린다.  행복하게 살아라,2020-01-02T08:44:42+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",sony****
Oh!!!Japan♥,2020-01-02T08:44:33+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",jerm****
냅둬라ㅡㅡ애들도아니고 다큰성인들인데,2020-01-02T08:42:42+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",soun****
이 정도 나이차 나면 역겹다던 그 성별들은 이 커플엔 또 조용하네.,2020-01-02T08:42:31+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",enef****
일녀가 70점 이라면 한녀는 15점 일녀가 여러면에서 앞서지 특히 가정적이며 남편 공경하는점 한녀는 남자가 지들 노예인줄암,2020-01-02T08:41:20+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",3172****
김희철과 루머가 났던 그 수많은 연예인들 중에 진정한 승자는 모모..,2020-01-02T08:36:17+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",suju****
노재팬 울부짖으며 김희철이 욕안하냐?  대깨문들아 ㅋㅋㅋㅋ,2020-01-02T08:34:29+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",9902****
예전에 열애설 한번 났었고 사이사이 얘기가 계속 나왔던 커플이라 그런지 새해 첫 커플 치고는 밍숭맹숭하네 좀 김빠짐,2020-01-02T08:31:01+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",akis****
2년 만난거? 아님 최근부터 만난거? 어쨌든 희님과모모님 축하드립니다~~ 오래오래 행복하세요~~,2020-01-02T08:28:52+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",qwsa****
댓글 수준 뭐람... 우선 연애는 축하드립니다 다만 한남한녀 댓글로 하루종일 말해도 님들은 외국 사람  절대 못만나요 그사람들도 눈이있는데 수준하곤.... 애초에 남여 서로 싫어하기 전부터 한국 사람이랑도 연애 못했으면서... 한남한녀탓은....,2020-01-02T08:28:40+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",thgm****
기모치,2020-01-02T03:01:11+0000,0,1,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",zero****
연예인 사귀는것까지우리가 알필요있냐??,2020-01-02T02:57:08+0000,0,1,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",medi****
요즘 보면 한국남자 + 일본여자 커플 많음... 반대도 적잖은데 잘 헤어짐. 일본남자들이 이벤트 같은 것 하는 것을 굉장히 남자가 할 일이 아니라고 생각하고 가부장적이거든,2020-01-02T02:54:40+0000,0,1,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",drat****
"일제의 모든 것을 불매 운동해야 하지만, 갓스시녀는 허용된다는 게 다수설",2020-01-02T02:52:18+0000,0,1,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",pica****
